chr2L	7456	7516	CG11023	PI
chr2L	18617	18677	l(2)gl	PI
chr2L	25167	25227	Ir21a	PI
chr2L	59231	59291	Cda5	PI
chr2L	66994	67054	dbr	2.89105e-07
chr2L	74065	74125	galectin	5.64375e-07
chr2L	76313	76373	CG11374	5.94431e-07
chr2L	87371	87431	net	9.68454e-08
chr2L	94692	94752	Zir	PI
chr2L	102336	102396	CG11377	9.73224e-08
chr2L	106718	106778	Nhe1	1.68883e-06
chr2L	107884	107944	METK	PI
chr2L	109515	109575	Sam-S	3.76886e-06
chr2L	116471	116531	CG13694	1.8019e-06
chr2L	121740	121800	CG4822	1.00757e-06
chr2L	130784	130844	CG3164	1.90208e-06
chr2L	132030	132090	GLN1	4.08183e-06
chr2L	140981	141041	CG31976	PI
chr2L	143113	143173	CG31974	PI
chr2L	143302	143362	CG11454	2.32429e-06
chr2L	153292	153352	CG42399	PI
chr2L	155264	155324	CG3709	2.29662e-06
chr2L	155313	155373	CG11455	1.92737e-07
chr2L	156116	156176	CG3436	4.8041e-07
chr2L	158666	158726	CG33635	9.68454e-08
chr2L	182796	182856	spen	PI
chr2L	203750	203810	mRpL10	PI
chr2L	207286	207346	CG11617	2.89105e-07
chr2L	207357	207417	Tbc1d15-17	PI
chr2L	232430	232490	CG13693	2.12535e-06
chr2L	250814	250874	kis	1.33246e-06
chr2L	252360	252420	Rpp30	1.82146e-06
chr2L	267494	267554	CG17075	PI
chr2L	269068	269128	CG3345	9.73224e-08
chr2L	271713	271773	CG3645	2.02374e-06
chr2L	273681	273741	mbm	9.68454e-08
chr2L	273912	273972	CG11555	9.68454e-08
chr2L	277535	277595	smo	1.94168e-07
chr2L	278255	278315	CG17078	PI
chr2L	283267	283327	CG11601	4.34755e-06
chr2L	288940	289000	Amnionless	PI
chr2L	291758	291818	CG3625	1.90828e-07
chr2L	292416	292476	CG11562	PI
chr2L	294653	294713	U2af38	4.14766e-06
chr2L	295074	295134	Hop	PI
chr2L	301621	301681	Pi3K21B	PI
chr2L	310199	310259	Plc21C	PI
chr2L	319246	319306	CG11912	3.33759e-06
chr2L	321234	321294	CG11911	3.84138e-06
chr2L	322051	322111	CG33127	3.83565e-07
chr2L	329772	329832	CG43755	8.26051e-06
chr2L	332257	332317	CG31921	2.58191e-06
chr2L	357844	357904	Ent1	3.2064e-06
chr2L	378066	378126	al	9.68454e-08
chr2L	402185	402245	CG4213	1.64303e-06
